| seed | window (ticks) | acted | travelled | trigger ticks | orders | ghost | team result | losers | passes |
|---|---|---|---|---|---|---|---|---|---|
| 1 | 1674 | 1674 | 2613 | 483 | 0 | 0 | yes | 2 | no |
| 2 | 16431 | 16431 | 30919 | 3795 | 5 | 0 | yes | 2 | **yes** |
| 3 | 3618 | 3618 | 8861 | 703 | 0 | 0 | yes | 2 | no |
| 4 | 1039 | 1039 | 1801 | 30 | 0 | 0 | yes | 2 | no |
| 5 | 25240 | 25240 | 48308 | 4445 | 5 | 0 | yes | 2 | **yes** |
| 6 | 1287 | 1287 | 3223 | 185 | 0 | 0 | yes | 2 | no |
| 7 | 27174 | 27174 | 51770 | 6121 | 5 | 0 | yes | 2 | **yes** |
| 8 | 1022 | 1022 | 2242 | 256 | 0 | 0 | yes | 2 | no |
| 9 | 2053 | 2053 | 3783 | 115 | 0 | 0 | yes | 2 | no |
| 10 | 16005 | 16005 | 25164 | 3265 | 8 | 0 | yes | 2 | **yes** |
| 11 | 1971 | 1971 | 4605 | 450 | 0 | 0 | yes | 2 | no |
| 12 | 1994 | 1994 | 2969 | 380 | 3 | 0 | yes | 2 | **yes** |
| 13 | 3220 | 3220 | 6989 | 820 | 0 | 0 | yes | 2 | no |
| 14 | 2265 | 2265 | 3507 | 360 | 2 | 0 | yes | 2 | **yes** |
| 15 | 15845 | 15845 | 27104 | 4505 | 3 | 0 | yes | 2 | **yes** |
| 16 | 10846 | 10846 | 19796 | 2685 | 4 | 0 | yes | 2 | **yes** |

8 of 16 seeds satisfy every assertion the fixture makes.
Largest-margin replacement: **seed 10** — 16005 ticks (4.4 min), 25164 units, 3265 trigger ticks, 8 orders.
