golden                                              inherited     a0-123
desktop-build-wheel-desktop                               667          6
desktop-build-wheel-hover-desktop                         667          6
desktop-build-wheel-short-desktop                         626          6
desktop-codex-desktop                                       3         37
desktop-doors-desktop                                       0         33
desktop-end-of-match-desktop                               16         22
desktop-frozen-desktop                                    704          0
desktop-frozen-teams-desktop                              891          0
desktop-hud-footer-desktop                                  0          0
desktop-hud-top-desktop                                     0          0
desktop-lobby-desktop                                       3          6
desktop-lobby-level-badge-desktop                           0          0
desktop-lobby-teams-desktop                                 3          6
desktop-map-select-desktop                                  0          1
desktop-pause-confirm-desktop                             798          0
desktop-pause-desktop                                       0          0
desktop-settings-desktop                                    5         37
desktop-ship-select-desktop                                 3          6
desktop-sky-coalsack-desktop                              736          0
desktop-sky-deep-ember-desktop                            893         20
desktop-sky-plasma-reef-desktop                           642          0
desktop-title-desktop                                       3         37
desktop-upgrade-wheel-desktop                             770          6
desktop-upgrade-wheel-short-desktop                       616          6
phone-landscape-build-wheel-iphone                        339          0
phone-landscape-build-wheel-touch-iphone                  373          0
phone-landscape-codex-iphone                               12         22
phone-landscape-doors-iphone                               15         22
phone-landscape-frozen-iphone                             299          0
phone-landscape-frozen-teams-iphone                       685          0
phone-landscape-hud-top-iphone                              0          0
phone-landscape-lobby-iphone                               26         28
phone-landscape-lobby-level-badge-iphone                    0          0
phone-landscape-lobby-teams-iphone                         26         28
phone-landscape-map-select-iphone                          13         21
phone-landscape-pause-iphone                                0          0
phone-landscape-settings-iphone                            23         26
phone-landscape-ship-select-iphone                         17         21
phone-landscape-thumb-band-iphone                           8          0
phone-landscape-title-iphone                               15         26
phone-landscape-upgrade-wheel-iphone                      453          0
phone-portrait-build-wheel-iphone                         339          0
phone-portrait-codex-iphone                                11         21
phone-portrait-eliminated-iphone                            0          0
phone-portrait-frozen-teams-iphone                        681          0
phone-portrait-lobby-iphone                                25         27
phone-portrait-pause-iphone                                 0          0
phone-portrait-settings-iphone                             24         24
phone-portrait-title-iphone                                12         24
phone-portrait-upgrade-wheel-iphone                       455          0
