| seed | window (ticks) | acted | travelled | trigger ticks | orders | ghost | team result | losers | passes |
|---|---|---|---|---|---|---|---|---|---|
| 1 | 1282 | 1282 | 2264 | 10 | 0 | 0 | yes | 2 | no |
| 2 | 622 | 622 | 991 | 92 | 0 | 0 | yes | 2 | no |
| 3 | 14540 | 14540 | 25578 | 3838 | 2 | 0 | yes | 2 | **yes** |
| 4 | 1635 | 1635 | 4434 | 240 | 0 | 0 | yes | 2 | no |
| 5 | 1561 | 1561 | 2761 | 195 | 0 | 0 | yes | 2 | no |
| 6 | 1842 | 1842 | 3158 | 160 | 0 | 0 | yes | 2 | no |
| 7 | 340 | 340 | 2082 | 175 | 0 | 0 | yes | 2 | no |
| 8 | 38054 | 38054 | 68707 | 10563 | 12 | 0 | yes | 2 | **yes** |
| 9 | 1258 | 1258 | 2177 | 132 | 0 | 0 | yes | 2 | no |
| 10 | 1893 | 1893 | 5068 | 320 | 0 | 0 | yes | 2 | no |
| 11 | 1145 | 1145 | 2915 | 649 | 0 | 0 | yes | 2 | no |
| 12 | 16963 | 16963 | 24060 | 4935 | 6 | 0 | yes | 2 | **yes** |
| 13 | 1682 | 1682 | 2656 | 180 | 3 | 0 | yes | 2 | **yes** |
| 14 | 16006 | 16006 | 33337 | 2130 | 10 | 0 | yes | 2 | **yes** |
| 15 | 3383 | 3383 | 5695 | 320 | 0 | 0 | yes | 2 | no |
| 16 | 1203 | 1203 | 2413 | 175 | 0 | 0 | yes | 2 | no |

5 of 16 seeds satisfy every assertion the fixture makes.
Largest-margin replacement: **seed 8** — 38054 ticks (10.6 min), 68707 units, 10563 trigger ticks, 12 orders.
