# frames/before/exact-open/
frame                          ink px     ink box (x,y,w,h)        centre        offset from viewport centre
f007-00620ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f008-00710ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f009-00770ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f010-00829ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f011-00888ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f012-01525ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f013-01586ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f014-01654ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f015-01714ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f016-01774ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f017-01834ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f018-01895ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f019-01961ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f020-02022ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f021-02085ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f022-02150ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f023-02210ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f024-02274ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f025-02332ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f026-02390ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f027-02447ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f028-02511ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f029-02566ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f030-02625ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f031-02682ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f032-02737ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f033-02794ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f034-02848ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f035-02903ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f036-02962ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f037-03018ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f038-03078ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f039-03136ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f040-03193ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
